Location,Date,Temperature (°C),Feels Like (°C),Humidity (%),Weather Condition
New York,4/5/2022 14:15,8.1,4.1,40,Partly cloudy
New York,10/5/2022 14:15,8.2,4.2,40,Partly cloudy
New York,15/5/2022 2:15:00 PM,8.5,4.5,40,Partly cloudy
New York,22/5/2022  2:15:00 PM,8.4,4.4,40,Partly cloudy
New York,28/5/2022  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,4/6/2022 14:15,8.3,4.3,40,Partly cloudy
New York,10/6/2022 14:15,8.7,4.5,40,Partly cloudy
New York,15/6/2022 2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,22/6/2022  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/6/2022  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,4/7/2022 14:15,8.2,4.2,40,Partly cloudy
New York,10/7/2022 14:15,8.5,4.5,40,Partly cloudy
New York,15/7/2022 2:15:00 PM,8.4,4.4,40,Partly cloudy
New York,22/7/2022  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/7/2022  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,4/8/2022 14:15,8.7,4.5,40,Partly cloudy
New York,10/8/2022 14:15,8.1,4.1,40,Partly cloudy
New York,15/8/2022 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/8/2022  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,28/8/2022  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,4/9/2022 14:15,8.7,4.5,40,Partly cloudy
New York,10/9/2022 14:15,8.1,4.1,40,Partly cloudy
New York,15/9/2022 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/9/2022  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,28/9/2022  2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,4/10/2022 14:15,8.5,4.5,40,Partly cloudy
New York,10/10/2022 14:15,8.4,4.4,40,Partly cloudy
New York,15/10/2022 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/10/2022  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,28/10/2022  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,4/11/2022 14:15,8.1,4.1,40,Partly cloudy
New York,10/11/2022 14:15,8.2,4.2,40,Partly cloudy
New York,15/11/2022 2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,22/11/2022  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,28/11/2022  2:15:00 PM,8.1,4.1,40,Partly cloudy
New York,4/12/2022 14:15,8.2,4.2,40,Partly cloudy
New York,10/12/2022 14:15,8.4,4.4,40,Partly cloudy
New York,15/12/2022 2:15:00 PM,8.2,4.2,40,Partly cloudy
New York,22/12/2022  2:15:00 PM,8.3,4.3,40,Partly cloudy
New York,28/12/2022  2:15:00 PM,8.7,4.7,40,Partly cloudy
New York,4/1/2023 14:15,8.1,4.1,40,Partly cloudy
New York,10/1/2023 14:15,8.2,4.2,40,Partly cloudy
